66;6
71;69
38;64
26;57
85;22
20;75
3;85
24;14
90;35
61;15
73;25
0;27
8;69
65;8
0;33
75;93
27;59
45;100
24;27
88;47
97;69
40;13
95;65
19;22
26;39
69;61
26;12
98;57
44;47
60;81
66;56
21;79
60;14
87;35
56;81
15;29
16;31
15;29
0;79
33;59
80;10
26;57
90;77
10;52
98;51
98;15
38;28
48;26
22;55
90;93
12;29
50;2
75;40
98;20
10;42
4;58
43;3
83;56
80;87
9;31
68;18
21;71
81;92
17;13
57;12
47;79
21;96
59;9
45;2
100;52
71;0
57;5
11;23
79;33
9;93
34;71
83;32
17;90
93;55
100;95
37;11
20;2
49;90
94;8
83;100
63;31
96;85
77;13
60;14
82;51
78;3
86;43
59;43
13;79
23;86
2;41
60;61
49;36
25;84
8;11
51;15
13;40
2;20
52;41
9;54
62;58
88;81
50;77
31;96
60;4
56;46
0;55
23;16
33;24
73;76
19;96
75;77
49;75
12;12
15;14
90;19
65;91
65;5
58;50
64;77
94;3
56;53
95;22
47;89
26;16
55;6
4;2
10;42
56;90
88;89
34;47
9;54
19;18
88;99
90;69
4;41
52;70
20;28
7;22
64;11
78;84
7;28
27;11
19;57
93;16
95;50
85;49
63;67
60;87
52;21
74;75
43;79
98;18
49;38
76;91
65;53
15;62
37;27
77;10
11;82
33;74
9;51
72;87
29;0
27;24
90;38
18;19
60;1
37;92
28;86
2;36
40;23
35;75
40;91
77;31
62;8
79;35
11;50
45;46
92;55
76;92
77;79
5;92
65;17
12;3
44;97
52;61
50;10
68;14
0;57
37;44
10;34
93;17
67;19
57;18
37;44
94;78
26;33
13;10
95;15
78;97
72;73
52;49
10;18
22;85
87;21
3;57
32;94
49;83
40;63
33;87
8;25
0;49
16;25
31;90
58;67
4;60
16;70
59;28
67;83
90;36
93;51
89;45
67;62
30;3
3;75
71;94
51;90
45;95
36;76
20;6
88;88
55;90
62;72
66;5
36;91
3;18
97;19
25;39
98;38
99;91
17;61
80;26
12;32
50;25
86;96
67;41
59;74
51;28
48;2
62;26
73;35
68;46
59;33
28;59
49;42
83;85
79;24
64;52
70;68
79;69
30;58
70;78
42;83
84;97
10;93
37;76
55;82
62;13
68;76
68;0
13;86
85;79
83;3
2;53
19;100
43;84
20;21
4;0
14;17
36;20
58;18
12;60
49;9
25;1
61;97
4;81
85;92
35;50
97;50
58;73
12;26
47;89
52;33
57;62
41;49
80;82
20;75
5;57
97;30
36;48
98;64
68;36
37;95
9;7
9;13
33;59
88;76
40;88
21;78
24;48
11;97
11;28
50;86
99;45
84;24
48;60
6;65
18;40
52;89
86;72
15;62
82;78
31;6
46;90
63;81
24;16
20;37
9;87
17;85
13;48
54;34
5;95
29;56
56;82
39;8
2;77
60;77
100;13
23;12
58;31
63;54
52;15
33;32
49;6
66;39
87;64
68;70
94;64
63;69
10;100
76;0
90;79
73;22
72;28
65;16
31;19
53;81
29;10
24;17
11;14
15;90
24;80
5;61
51;82
95;57
59;28
55;41
62;4
89;16
80;46
32;80
3;66
62;7
12;72
84;94
91;90
79;85
77;38
58;61
60;94
30;59
56;56
67;53
93;38
8;97
77;90
3;64
84;22
32;53
26;17
65;44
77;65
66;54
70;77
24;73
77;18
47;54
53;97
60;28
36;56
12;63
20;24
30;76
42;71
2;55
66;80
6;62
65;36
97;94
26;33
25;27
97;65
92;86
22;97
1;48
7;92
48;97
52;2
4;48
28;93
17;24
35;66
97;76
4;22
41;67
54;88
40;32
74;94
52;69
27;84
38;74
92;7
46;67
2;28
27;27
37;62
70;44
40;81
28;46
93;27
41;62
29;89
36;51
37;73
92;45
91;61
53;63
47;94
66;88
39;45
60;45
35;86
96;29
39;6
75;100
78;1
9;85
57;73
5;75
83;4
28;41
89;36
70;96
76;87
42;7
42;43
46;16
39;69
67;46
39;13
16;92
85;73
73;11
22;70
7;50
53;28
21;91
97;44
37;68
71;64
51;50
39;67
7;76
21;51
79;96
44;54
12;97
79;26
68;34
51;29
61;10
98;73
89;100
96;17
